Devices
1000
,,Imported Force Plate #1 - Force,,,Imported Force Plate #1 - Moment,,,Imported Force Plate #1 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
1499,0,0,0,0,0,0,0,0,0,0
1499,1,0,0,0,0,0,0,0,0,0
1500,0,0,0,0,0,0,0,0,0,0
1500,1,0,0,0,0,0,0,0,0,0
1501,0,0,0,0,0,0,0,0,0,0
1501,1,0,0,0,0,0,0,0,0,0
1502,0,0,0,0,0,0,0,0,0,0
1502,1,0,0,0,0,0,0,0,0,0
1503,0,0,0,0,0,0,0,0,0,0
1503,1,0,0,0,0,0,0,0,0,0
1504,0,0,0,0,0,0,0,0,0,0
1504,1,0,0,0,0,0,0,0,0,0
1505,0,0,0,0,0,0,0,0,0,0
1505,1,0,0,0,0,0,0,0,0,0
1506,0,0,0,0,0,0,0,0,0,0
1506,1,0,0,0,0,0,0,0,0,0
1507,0,0,0,0,0,0,0,0,0,0
1507,1,0,0,0,0,0,0,0,0,0
1508,0,0,0,0,0,0,0,0,0,0
1508,1,0,0,0,0,0,0,0,0,0
1509,0,0,0,0,0,0,0,0,0,0
1509,1,0,0,0,0,0,0,0,0,0
1510,0,0,0,0,0,0,0,0,0,0
1510,1,0,0,0,0,0,0,0,0,0
1511,0,0,0,0,0,0,0,0,0,0
1511,1,0,0,0,0,0,0,0,0,0
1512,0,0,0,0,0,0,0,0,0,0
1512,1,0,0,0,0,0,0,0,0,0
1513,0,0,0,0,0,0,0,0,0,0
1513,1,0,0,0,0,0,0,0,0,0
1514,0,0,0,0,0,0,0,0,0,0
1514,1,0,0,0,0,0,0,0,0,0
1515,0,0,0,0,0,0,0,0,0,0
1515,1,0,0,0,0,0,0,0,0,0
1516,0,0,0,0,0,0,0,0,0,0
1516,1,0,0,0,0,0,0,0,0,0
1517,0,0,0,0,0,0,0,0,0,0
1517,1,0,0,0,0,0,0,0,0,0
1518,0,0,0,0,0,0,0,0,0,0
1518,1,0,0,0,0,0,0,0,0,0
1519,0,0,0,0,0,0,0,0,0,0
1519,1,0,0,0,0,0,0,0,0,0
1520,0,0,0,0,0,0,0,0,0,0
1520,1,0,0,0,0,0,0,0,0,0
1521,0,0,0,0,0,0,0,0,0,0
1521,1,0,0,0,0,0,0,0,0,0
1522,0,0,0,0,0,0,0,0,0,0
1522,1,0,0,0,0,0,0,0,0,0
1523,0,0,0,0,0,0,0,0,0,0
1523,1,0,0,0,0,0,0,0,0,0
1524,0,0,0,0,0,0,0,0,0,0
1524,1,0,0,0,0,0,0,0,0,0
1525,0,0,0,0,0,0,0,0,0,0
1525,1,0,0,0,0,0,0,0,0,0
1526,0,0,0,0,0,0,0,0,0,0
1526,1,0,0,0,0,0,0,0,0,0
1527,0,0,0,0,0,0,0,0,0,0
1527,1,0,0,0,0,0,0,0,0,0
1528,0,0,0,0,0,0,0,0,0,0
1528,1,0,0,0,0,0,0,0,0,0
1529,0,0,0,0,0,0,0,0,0,0
1529,1,0,0,0,0,0,0,0,0,0
1530,0,0,0,0,0,0,0,0,0,0
1530,1,0,0,0,0,0,0,0,0,0
1531,0,0,0,0,0,0,0,0,0,0
1531,1,0,0,0,0,0,0,0,0,0
1532,0,0,0,0,0,0,0,0,0,0
1532,1,0,0,0,0,0,0,0,0,0
1533,0,0,0,0,0,0,0,0,0,0
1533,1,0,0,0,0,0,0,0,0,0
1534,0,0,0,0,0,0,0,0,0,0
1534,1,0,0,0,0,0,0,0,0,0
1535,0,0,0,0,0,0,0,0,0,0
1535,1,0,0,0,0,0,0,0,0,0
1536,0,0,0,0,0,0,0,0,0,0
1536,1,0,0,0,0,0,0,0,0,0
1537,0,0,0,0,0,0,0,0,0,0
1537,1,0,0,0,0,0,0,0,0,0
1538,0,0,0,0,0,0,0,0,0,0
1538,1,0,0,0,0,0,0,0,0,0
1539,0,0,0,0,0,0,0,0,0,0
1539,1,0,0,0,0,0,0,0,0,0
1540,0,0,0,0,0,0,0,0,0,0
1540,1,0,0,0,0,0,0,0,0,0
1541,0,0,0,0,0,0,0,0,0,0
1541,1,0,0,0,0,0,0,0,0,0
1542,0,0,0,0,0,0,0,0,0,0
1542,1,0,0,0,0,0,0,0,0,0
1543,0,0,0,0,0,0,0,0,0,0
1543,1,0,0,0,0,0,0,0,0,0
1544,0,0,0,0,0,0,0,0,0,0
1544,1,0,0,0,0,0,0,0,0,0
1545,0,0,0,0,0,0,0,0,0,0
1545,1,0,0,0,0,0,0,0,0,0
1546,0,0,0,0,0,0,0,0,0,0
1546,1,0,0,0,0,0,0,0,0,0
1547,0,0,0,0,0,0,0,0,0,0
1547,1,0,0,0,0,0,0,0,0,0
1548,0,0,0,0,0,0,0,0,0,0
1548,1,0,0,0,0,0,0,0,0,0
1549,0,0,0,0,0,0,0,0,0,0
1549,1,0,0,0,0,0,0,0,0,0
1550,0,0,0,0,0,0,0,0,0,0
1550,1,0,0,0,0,0,0,0,0,0
1551,0,0,0,0,0,0,0,0,0,0
1551,1,0,0,0,0,0,0,0,0,0
1552,0,0,0,0,0,0,0,0,0,0
1552,1,0,0,0,0,0,0,0,0,0
1553,0,0,0,0,0,0,0,0,0,0
1553,1,0,0,0,0,0,0,0,0,0
1554,0,0,0,0,0,0,0,0,0,0
1554,1,0,0,0,0,0,0,0,0,0
1555,0,0,0,0,0,0,0,0,0,0
1555,1,0,0,0,0,0,0,0,0,0
1556,0,0,0,0,0,0,0,0,0,0
1556,1,0,0,0,0,0,0,0,0,0
1557,0,0,0,0,0,0,0,0,0,0
1557,1,0,0,0,0,0,0,0,0,0
1558,0,0,0,0,0,0,0,0,0,0
1558,1,0,0,0,0,0,0,0,0,0
1559,0,0,0,0,0,0,0,0,0,0
1559,1,0,0,0,0,0,0,0,0,0
1560,0,0,0,0,0,0,0,0,0,0
1560,1,0,0,0,0,0,0,0,0,0
1561,0,0,0,0,0,0,0,0,0,0
1561,1,0,0,0,0,0,0,0,0,0
1562,0,0,0,0,0,0,0,0,0,0
1562,1,0,0,0,0,0,0,0,0,0
1563,0,0,0,0,0,0,0,0,0,0
1563,1,0,0,0,0,0,0,0,0,0
1564,0,0,0,0,0,0,0,0,0,0
1564,1,0,0,0,0,0,0,0,0,0
1565,0,0,0,0,0,0,0,0,0,0
1565,1,0,0,0,0,0,0,0,0,0
1566,0,0,0,0,0,0,0,0,0,0
1566,1,0,0,0,0,0,0,0,0,0
1567,0,0,0,0,0,0,0,0,0,0
1567,1,0,0,0,0,0,0,0,0,0
1568,0,0,0,0,0,0,0,0,0,0
1568,1,0,0,0,0,0,0,0,0,0
1569,0,0,0,0,0,0,0,0,0,0
1569,1,0,0,0,0,0,0,0,0,0
1570,0,0,0,0,0,0,0,0,0,0
1570,1,0,0,0,0,0,0,0,0,0
1571,0,0,0,0,0,0,0,0,0,0
1571,1,0,0,0,0,0,0,0,0,0
1572,0,0,0,0,0,0,0,0,0,0
1572,1,0,0,0,0,0,0,0,0,0
1573,0,0,0,0,0,0,0,0,0,0
1573,1,0,0,0,0,0,0,0,0,0
1574,0,0,0,0,0,0,0,0,0,0
1574,1,0,0,0,0,0,0,0,0,0
1575,0,0,0,0,0,0,0,0,0,0
1575,1,0,0,0,0,0,0,0,0,0
1576,0,0,0,0,0,0,0,0,0,0
1576,1,0,0,0,0,0,0,0,0,0
1577,0,0,0,0,0,0,0,0,0,0
1577,1,0,0,0,0,0,0,0,0,0
1578,0,0,0,0,0,0,0,0,0,0
1578,1,0,0,0,0,0,0,0,0,0
1579,0,0,0,0,0,0,0,0,0,0
1579,1,0,0,0,0,0,0,0,0,0
1580,0,0,0,0,0,0,0,0,0,0
1580,1,0,0,0,0,0,0,0,0,0
1581,0,0,0,0,0,0,0,0,0,0
1581,1,0,0,0,0,0,0,0,0,0
1582,0,0,0,0,0,0,0,0,0,0
1582,1,0,0,0,0,0,0,0,0,0
1583,0,0,0,0,0,0,0,0,0,0
1583,1,0,0,0,0,0,0,0,0,0
1584,0,0,0,0,0,0,0,0,0,0
1584,1,0,0,0,0,0,0,0,0,0
1585,0,0,0,0,0,0,0,0,0,0
1585,1,0,0,0,0,0,0,0,0,0
1586,0,0,0,0,0,0,0,0,0,0
1586,1,0,0,0,0,0,0,0,0,0
1587,0,0,0,0,0,0,0,0,0,0
1587,1,0,0,0,0,0,0,0,0,0
1588,0,0,0,0,0,0,0,0,0,0
1588,1,0,0,0,0,0,0,0,0,0
1589,0,0,0,0,0,0,0,0,0,0
1589,1,0,0,0,0,0,0,0,0,0
1590,0,0,0,0,0,0,0,0,0,0
1590,1,0,0,0,0,0,0,0,0,0
1591,0,0,0,0,0,0,0,0,0,0
1591,1,0,0,0,0,0,0,0,0,0
1592,0,0,0,0,0,0,0,0,0,0
1592,1,0,0,0,0,0,0,0,0,0
1593,0,0,0,0,0,0,0,0,0,0
1593,1,0,0,0,0,0,0,0,0,0
1594,0,0,0,0,0,0,0,0,0,0
1594,1,0,0,0,0,0,0,0,0,0
1595,0,0,0,0,0,0,0,0,0,0
1595,1,0,0,0,0,0,0,0,0,0
1596,0,0,0,0,0,0,0,0,0,0
1596,1,0,0,0,0,0,0,0,0,0
1597,0,0,0,0,0,0,0,0,0,0
1597,1,0,0,0,0,0,0,0,0,0
1598,0,0,0,0,0,0,0,0,0,0
1598,1,0,0,0,0,0,0,0,0,0
1599,0,0,0,0,0,0,0,0,0,0
1599,1,0,0,0,0,0,0,0,0,0
1600,0,0,0,0,0,0,0,0,0,0
1600,1,0,0,0,0,0,0,0,0,0
1601,0,0,0,0,0,0,0,0,0,0
1601,1,0,0,0,0,0,0,0,0,0
1602,0,0,0,0,0,0,0,0,0,0
1602,1,0,0,0,0,0,0,0,0,0
1603,0,0,0,0,0,0,0,0,0,0
1603,1,0,0,0,0,0,0,0,0,0
1604,0,0,0,0,0,0,0,0,0,0
1604,1,0,0,0,0,0,0,0,0,0
1605,0,0,0,0,0,0,0,0,0,0
1605,1,0,0,0,0,0,0,0,0,0
1606,0,0,0,0,0,0,0,0,0,0
1606,1,0,0,0,0,0,0,0,0,0
1607,0,0,0,0,0,0,0,0,0,0
1607,1,0,0,0,0,0,0,0,0,0
1608,0,0,0,0,0,0,0,0,0,0
1608,1,0,0,0,0,0,0,0,0,0
1609,0,0,0,0,0,0,0,0,0,0
1609,1,0,0,0,0,0,0,0,0,0
1610,0,0,0,0,0,0,0,0,0,0
1610,1,0,0,0,0,0,0,0,0,0
1611,0,0,0,0,0,0,0,0,0,0
1611,1,0,0,0,0,0,0,0,0,0
1612,0,0,0,0,0,0,0,0,0,0
1612,1,0,0,0,0,0,0,0,0,0
1613,0,0,0,0,0,0,0,0,0,0
1613,1,0,0,0,0,0,0,0,0,0
1614,0,0,0,0,0,0,0,0,0,0
1614,1,0,0,0,0,0,0,0,0,0
1615,0,0,0,0,0,0,0,0,0,0
1615,1,0,0,0,0,0,0,0,0,0
1616,0,0,0,0,0,0,0,0,0,0
1616,1,0,0,0,0,0,0,0,0,0
1617,0,0,0,0,0,0,0,0,0,0
1617,1,0,0,0,0,0,0,0,0,0
1618,0,0,0,0,0,0,0,0,0,0
1618,1,0,0,0,0,0,0,0,0,0
1619,0,0,0,0,0,0,0,0,0,0
1619,1,0,0,0,0,0,0,0,0,0
1620,0,0,0,0,0,0,0,0,0,0
1620,1,0,0,0,0,0,0,0,0,0
1621,0,0,0,0,0,0,0,0,0,0
1621,1,0,0,0,0,0,0,0,0,0
1622,0,0,0,0,0,0,0,0,0,0
1622,1,0,0,0,0,0,0,0,0,0
1623,0,0,0,0,0,0,0,0,0,0
1623,1,0,0,0,0,0,0,0,0,0
1624,0,0,0,0,0,0,0,0,0,0
1624,1,0,0,0,0,0,0,0,0,0
1625,0,0,0,0,0,0,0,0,0,0
1625,1,0,0,0,0,0,0,0,0,0
1626,0,0,0,0,0,0,0,0,0,0
1626,1,0,0,0,0,0,0,0,0,0
1627,0,0,0,0,0,0,0,0,0,0
1627,1,0,0,0,0,0,0,0,0,0
1628,0,0,0,0,0,0,0,0,0,0
1628,1,0,0,0,0,0,0,0,0,0
1629,0,0,0,0,0,0,0,0,0,0
1629,1,0,0,0,0,0,0,0,0,0
1630,0,0,0,0,0,0,0,0,0,0
1630,1,0,0,0,0,0,0,0,0,0
1631,0,0,0,0,0,0,0,0,0,0
1631,1,0,0,0,0,0,0,0,0,0
1632,0,0,0,0,0,0,0,0,0,0
1632,1,0,0,0,0,0,0,0,0,0
1633,0,0,0,0,0,0,0,0,0,0
1633,1,0,0,0,0,0,0,0,0,0
1634,0,0,0,0,0,0,0,0,0,0
1634,1,0,0,0,0,0,0,0,0,0
1635,0,0,0,0,0,0,0,0,0,0
1635,1,0,0,0,0,0,0,0,0,0
1636,0,0,0,0,0,0,0,0,0,0
1636,1,0,0,0,0,0,0,0,0,0
1637,0,0,0,0,0,0,0,0,0,0
1637,1,0,0,0,0,0,0,0,0,0
1638,0,0,0,0,0,0,0,0,0,0
1638,1,0,0,0,0,0,0,0,0,0
1639,0,0,0,0,0,0,0,0,0,0
1639,1,0,0,0,0,0,0,0,0,0
1640,0,0,0,0,0,0,0,0,0,0
1640,1,0,0,0,0,0,0,0,0,0
1641,0,0,0,0,0,0,0,0,0,0
1641,1,0,0,0,0,0,0,0,0,0
1642,0,0,0,0,0,0,0,0,0,0
1642,1,0,0,0,0,0,0,0,0,0
1643,0,0,0,0,0,0,0,0,0,0
1643,1,0,0,0,0,0,0,0,0,0
1644,0,0,0,0,0,0,0,0,0,0
1644,1,0,0,0,0,0,0,0,0,0
1645,0,0,0,0,0,0,0,0,0,0
1645,1,0,0,0,0,0,0,0,0,0
1646,0,0,0,0,0,0,0,0,0,0
1646,1,0,0,0,0,0,0,0,0,0
1647,0,0,0,0,0,0,0,0,0,0
1647,1,0,0,0,0,0,0,0,0,0
1648,0,0,0,0,0,0,0,0,0,0
1648,1,0,0,0,0,0,0,0,0,0
1649,0,0,0,0,0,0,0,0,0,0
1649,1,0,0,0,0,0,0,0,0,0
1650,0,0,0,0,0,0,0,0,0,0
1650,1,0,0,0,0,0,0,0,0,0
1651,0,0,0,0,0,0,0,0,0,0
1651,1,0,0,0,0,0,0,0,0,0
1652,0,0,0,0,0,0,0,0,0,0
1652,1,0,0,0,0,0,0,0,0,0
1653,0,0,0,0,0,0,0,0,0,0
1653,1,0,0,0,0,0,0,0,0,0
1654,0,0,0,0,0,0,0,0,0,0
1654,1,0,0,0,0,0,0,0,0,0
1655,0,0,0,0,0,0,0,0,0,0
1655,1,0,0,0,0,0,0,0,0,0
1656,0,0,0,0,0,0,0,0,0,0
1656,1,0,0,0,0,0,0,0,0,0
1657,0,0,0,0,0,0,0,0,0,0
1657,1,0,0,0,0,0,0,0,0,0
1658,0,0,0,0,0,0,0,0,0,0
1658,1,0,0,0,0,0,0,0,0,0
1659,0,0,0,0,0,0,0,0,0,0
1659,1,0,0,0,0,0,0,0,0,0
1660,0,0,0,0,0,0,0,0,0,0
1660,1,0,0,0,0,0,0,0,0,0
1661,0,0,0,0,0,0,0,0,0,0
1661,1,0,0,0,0,0,0,0,0,0
1662,0,0,0,0,0,0,0,0,0,0
1662,1,0,0,0,0,0,0,0,0,0
1663,0,0,0,0,0,0,0,0,0,0
1663,1,0,0,0,0,0,0,0,0,0
1664,0,0,0,0,0,0,0,0,0,0
1664,1,0,0,0,0,0,0,0,0,0
1665,0,0,0,0,0,0,0,0,0,0
1665,1,0,0,0,0,0,0,0,0,0
1666,0,0,0,0,0,0,0,0,0,0
1666,1,0,0,0,0,0,0,0,0,0
1667,0,0,0,0,0,0,0,0,0,0
1667,1,0,0,0,0,0,0,0,0,0
1668,0,0,0,0,0,0,0,0,0,0
1668,1,0,0,0,0,0,0,0,0,0
1669,0,0,0,0,0,0,0,0,0,0
1669,1,0,0,0,0,0,0,0,0,0
1670,0,0,0,0,0,0,0,0,0,0
1670,1,0,0,0,0,0,0,0,0,0
1671,0,0,0,0,0,0,0,0,0,0
1671,1,0,0,0,0,0,0,0,0,0
1672,0,0,0,0,0,0,0,0,0,0
1672,1,0,0,0,0,0,0,0,0,0
1673,0,0,0,0,0,0,0,0,0,0
1673,1,0,0,0,0,0,0,0,0,0
1674,0,0,0,0,0,0,0,0,0,0
1674,1,0,0,0,0,0,0,0,0,0
1675,0,0,0,0,0,0,0,0,0,0
1675,1,0,0,0,0,0,0,0,0,0
1676,0,0,0,0,0,0,0,0,0,0
1676,1,0,0,0,0,0,0,0,0,0
1677,0,0,0,0,0,0,0,0,0,0
1677,1,0,0,0,0,0,0,0,0,0
1678,0,0,0,0,0,0,0,0,0,0
1678,1,0,0,0,0,0,0,0,0,0
1679,0,0,0,0,0,0,0,0,0,0
1679,1,0,0,0,0,0,0,0,0,0
1680,0,0,0,0,0,0,0,0,0,0
1680,1,0,0,0,0,0,0,0,0,0
1681,0,0,0,0,0,0,0,0,0,0
1681,1,0,0,0,0,0,0,0,0,0
1682,0,0,0,0,0,0,0,0,0,0
1682,1,0,0,0,0,0,0,0,0,0
1683,0,0,0,0,0,0,0,0,0,0
1683,1,0,0,0,0,0,0,0,0,0
1684,0,0,0,0,0,0,0,0,0,0
1684,1,0,0,0,0,0,0,0,0,0
1685,0,0,0,0,0,0,0,0,0,0
1685,1,0,0,0,0,0,0,0,0,0
1686,0,0,0,0,0,0,0,0,0,0
1686,1,0,0,0,0,0,0,0,0,0
1687,0,0,0,0,0,0,0,0,0,0
1687,1,0,0,0,0,0,0,0,0,0
1688,0,0,0,0,0,0,0,0,0,0
1688,1,0,0,0,0,0,0,0,0,0
1689,0,0,0,0,0,0,0,0,0,0
1689,1,0,0,0,0,0,0,0,0,0
1690,0,0,0,0,0,0,0,0,0,0
1690,1,0,0,0,0,0,0,0,0,0
1691,0,0,0,0,0,0,0,0,0,0
1691,1,0,0,0,0,0,0,0,0,0
1692,0,0,0,0,0,0,0,0,0,0
1692,1,0,0,0,0,0,0,0,0,0
1693,0,0,0,0,0,0,0,0,0,0
1693,1,0,0,0,0,0,0,0,0,0
1694,0,0,0,0,0,0,0,0,0,0
1694,1,0,0,0,0,0,0,0,0,0
1695,0,0,0,0,0,0,0,0,0,0
1695,1,0,0,0,0,0,0,0,0,0
1696,0,0,0,0,0,0,0,0,0,0
1696,1,0,0,0,0,0,0,0,0,0
1697,0,0,0,0,0,0,0,0,0,0
1697,1,0,0,0,0,0,0,0,0,0
1698,0,0,0,0,0,0,0,0,0,0
1698,1,0,0,0,0,0,0,0,0,0
1699,0,0,0,0,0,0,0,0,0,0
1699,1,0,0,0,0,0,0,0,0,0
1700,0,0,0,0,0,0,0,0,0,0
1700,1,0,0,0,0,0,0,0,0,0
1701,0,0,0,0,0,0,0,0,0,0
1701,1,0,0,0,0,0,0,0,0,0
1702,0,0,0,0,0,0,0,0,0,0
1702,1,0,0,0,0,0,0,0,0,0
1703,0,0,0,0,0,0,0,0,0,0
1703,1,0,0,0,0,0,0,0,0,0
1704,0,0,0,0,0,0,0,0,0,0
1704,1,0,0,0,0,0,0,0,0,0
1705,0,0,0,0,0,0,0,0,0,0
1705,1,0,0,0,0,0,0,0,0,0
1706,0,0,0,0,0,0,0,0,0,0
1706,1,0,0,0,0,0,0,0,0,0
1707,0,0,0,0,0,0,0,0,0,0
1707,1,0,0,0,0,0,0,0,0,0
1708,0,0,0,0,0,0,0,0,0,0
1708,1,0,0,0,0,0,0,0,0,0
1709,0,0,0,0,0,0,0,0,0,0
1709,1,0,0,0,0,0,0,0,0,0
1710,0,0,0,0,0,0,0,0,0,0
1710,1,0,0,0,0,0,0,0,0,0
1711,0,0,0,0,0,0,0,0,0,0
1711,1,0,0,0,0,0,0,0,0,0
1712,0,0,0,0,0,0,0,0,0,0
1712,1,0,0,0,0,0,0,0,0,0
1713,0,0,0,0,0,0,0,0,0,0
1713,1,0,0,0,0,0,0,0,0,0
1714,0,0,0,0,0,0,0,0,0,0
1714,1,0,0,0,0,0,0,0,0,0
1715,0,0,0,0,0,0,0,0,0,0
1715,1,0,0,0,0,0,0,0,0,0
1716,0,0,0,0,0,0,0,0,0,0
1716,1,0,0,0,0,0,0,0,0,0
1717,0,0,0,0,0,0,0,0,0,0
1717,1,0,0,0,0,0,0,0,0,0
1718,0,0,0,0,0,0,0,0,0,0
1718,1,0,0,0,0,0,0,0,0,0
1719,0,0,0,0,0,0,0,0,0,0
1719,1,0,0,0,0,0,0,0,0,0
1720,0,0,0,0,0,0,0,0,0,0
1720,1,0,0,0,0,0,0,0,0,0
1721,0,0,0,0,0,0,0,0,0,0
1721,1,0,0,0,0,0,0,0,0,0
1722,0,0,0,0,0,0,0,0,0,0
1722,1,0,0,0,0,0,0,0,0,0
1723,0,0,0,0,0,0,0,0,0,0
1723,1,0,0,0,0,0,0,0,0,0
1724,0,0,0,0,0,0,0,0,0,0
1724,1,0,0,0,0,0,0,0,0,0
1725,0,0,0,0,0,0,0,0,0,0
1725,1,0,0,0,0,0,0,0,0,0
1726,0,0,0,0,0,0,0,0,0,0
1726,1,0,0,0,0,0,0,0,0,0
1727,0,0,0,0,0,0,0,0,0,0
1727,1,0,0,0,0,0,0,0,0,0
1728,0,0,0,0,0,0,0,0,0,0
1728,1,0,0,0,0,0,0,0,0,0
1729,0,0,0,0,0,0,0,0,0,0
1729,1,0,0,0,0,0,0,0,0,0
1730,0,0,0,0,0,0,0,0,0,0
1730,1,0,0,0,0,0,0,0,0,0
1731,0,0,0,0,0,0,0,0,0,0
1731,1,0,0,0,0,0,0,0,0,0
1732,0,0,0,0,0,0,0,0,0,0
1732,1,0,0,0,0,0,0,0,0,0
1733,0,0,0,0,0,0,0,0,0,0
1733,1,0,0,0,0,0,0,0,0,0
1734,0,0,0,0,0,0,0,0,0,0
1734,1,0,0,0,0,0,0,0,0,0
1735,0,0,0,0,0,0,0,0,0,0
1735,1,0,0,0,0,0,0,0,0,0
1736,0,0,0,0,0,0,0,0,0,0
1736,1,0,0,0,0,0,0,0,0,0
1737,0,0,0,0,0,0,0,0,0,0
1737,1,0,0,0,0,0,0,0,0,0
1738,0,0,0,0,0,0,0,0,0,0
1738,1,0,0,0,0,0,0,0,0,0
1739,0,0,0,0,0,0,0,0,0,0
1739,1,0,0,0,0,0,0,0,0,0
1740,0,0,0,0,0,0,0,0,0,0
1740,1,0,0,0,0,0,0,0,0,0
1741,0,0,0,0,0,0,0,0,0,0
1741,1,0,0,0,0,0,0,0,0,0
1742,0,0,0,0,0,0,0,0,0,0
1742,1,0,0,0,0,0,0,0,0,0
1743,0,0,0,0,0,0,0,0,0,0
1743,1,0,0,0,0,0,0,0,0,0
1744,0,0,0,0,0,0,0,0,0,0
1744,1,0,0,0,0,0,0,0,0,0
1745,0,0,0,0,0,0,0,0,0,0
1745,1,0,0,0,0,0,0,0,0,0
1746,0,0,0,0,0,0,0,0,0,0
1746,1,0,0,0,0,0,0,0,0,0
1747,0,0,0,0,0,0,0,0,0,0
1747,1,0,0,0,0,0,0,0,0,0
1748,0,0,0,0,0,0,0,0,0,0
1748,1,0,0,0,0,0,0,0,0,0
1749,0,0,0,0,0,0,0,0,0,0
1749,1,0,0,0,0,0,0,0,0,0
1750,0,0,0,0,0,0,0,0,0,0
1750,1,0,0,0,0,0,0,0,0,0
1751,0,0,0,0,0,0,0,0,0,0
1751,1,0,0,0,0,0,0,0,0,0
1752,0,0,0,0,0,0,0,0,0,0
1752,1,0,0,0,0,0,0,0,0,0
1753,0,0,0,0,0,0,0,0,0,0
1753,1,0,0,0,0,0,0,0,0,0
1754,0,0,0,0,0,0,0,0,0,0
1754,1,0,0,0,0,0,0,0,0,0
1755,0,0,0,0,0,0,0,0,0,0
1755,1,0,0,0,0,0,0,0,0,0
1756,0,0,0,0,0,0,0,0,0,0
1756,1,0,0,0,0,0,0,0,0,0
1757,0,0,0,0,0,0,0,0,0,0
1757,1,0,0,0,0,0,0,0,0,0
1758,0,0,0,0,0,0,0,0,0,0
1758,1,0,0,0,0,0,0,0,0,0
1759,0,0,0,0,0,0,0,0,0,0
1759,1,0,0,0,0,0,0,0,0,0
1760,0,0,0,0,0,0,0,0,0,0
1760,1,0,0,0,0,0,0,0,0,0
1761,0,0,0,0,0,0,0,0,0,0
1761,1,0,0,0,0,0,0,0,0,0
1762,0,0,0,0,0,0,0,0,0,0
1762,1,0,0,0,0,0,0,0,0,0
1763,0,0,0,0,0,0,0,0,0,0
1763,1,0,0,0,0,0,0,0,0,0
1764,0,0,0,0,0,0,0,0,0,0
1764,1,0,0,0,0,0,0,0,0,0
1765,0,0,0,0,0,0,0,0,0,0
1765,1,0,0,0,0,0,0,0,0,0
1766,0,0,0,0,0,0,0,0,0,0
1766,1,0,0,0,0,0,0,0,0,0
1767,0,0,0,0,0,0,0,0,0,0
1767,1,0,0,0,0,0,0,0,0,0
1768,0,0,0,0,0,0,0,0,0,0
1768,1,0,0,0,0,0,0,0,0,0
1769,0,0,0,0,0,0,0,0,0,0
1769,1,0,0,0,0,0,0,0,0,0
1770,0,0,0,0,0,0,0,0,0,0
1770,1,0,0,0,0,0,0,0,0,0
1771,0,0,0,0,0,0,0,0,0,0
1771,1,0,0,0,0,0,0,0,0,0
1772,0,0,0,0,0,0,0,0,0,0
1772,1,0,0,0,0,0,0,0,0,0
1773,0,0,0,0,0,0,0,0,0,0
1773,1,0,0,0,0,0,0,0,0,0
1774,0,0,0,0,0,0,0,0,0,0
1774,1,0,0,0,0,0,0,0,0,0
1775,0,0,0,0,0,0,0,0,0,0
1775,1,0,0,0,0,0,0,0,0,0
1776,0,0,0,0,0,0,0,0,0,0
1776,1,0,0,0,0,0,0,0,0,0
1777,0,0,0,0,0,0,0,0,0,0
1777,1,0,0,0,0,0,0,0,0,0
1778,0,0,0,0,0,0,0,0,0,0
1778,1,0,0,0,0,0,0,0,0,0
1779,0,0,0,0,0,0,0,0,0,0
1779,1,0,0,0,0,0,0,0,0,0
1780,0,0,0,0,0,0,0,0,0,0
1780,1,0,0,0,0,0,0,0,0,0
1781,0,0,0,0,0,0,0,0,0,0
1781,1,0,0,0,0,0,0,0,0,0
1782,0,0,0,0,0,0,0,0,0,0
1782,1,0,0,0,0,0,0,0,0,0
1783,0,0,0,0,0,0,0,0,0,0
1783,1,0,0,0,0,0,0,0,0,0
1784,0,0,0,0,0,0,0,0,0,0
1784,1,0,0,0,0,0,0,0,0,0
1785,0,0,0,0,0,0,0,0,0,0
1785,1,0,0,0,0,0,0,0,0,0
1786,0,0,0,0,0,0,0,0,0,0
1786,1,0,0,0,0,0,0,0,0,0
1787,0,0,0,0,0,0,0,0,0,0
1787,1,0,0,0,0,0,0,0,0,0
1788,0,0,0,0,0,0,0,0,0,0
1788,1,0,0,0,0,0,0,0,0,0
1789,0,0,0,0,0,0,0,0,0,0
1789,1,0,0,0,0,0,0,0,0,0
1790,0,0,0,0,0,0,0,0,0,0
1790,1,0,0,0,0,0,0,0,0,0
1791,0,0,0,0,0,0,0,0,0,0
1791,1,0,0,0,0,0,0,0,0,0
1792,0,0,0,0,0,0,0,0,0,0
1792,1,0,0,0,0,0,0,0,0,0
1793,0,0,0,0,0,0,0,0,0,0
1793,1,0,0,0,0,0,0,0,0,0
1794,0,0,0,0,0,0,0,0,0,0
1794,1,0,0,0,0,0,0,0,0,0
1795,0,0,0,0,0,0,0,0,0,0
1795,1,0,0,0,0,0,0,0,0,0
1796,0,0,0,0,0,0,0,0,0,0
1796,1,0,0,0,0,0,0,0,0,0
1797,0,0,0,0,0,0,0,0,0,0
1797,1,0,0,0,0,0,0,0,0,0
1798,0,0,0,0,0,0,0,0,0,0
1798,1,0,0,0,0,0,0,0,0,0
1799,0,0,0,0,0,0,0,0,0,0
1799,1,0,0,0,0,0,0,0,0,0
1800,0,0,0,0,0,0,0,0,0,0
1800,1,0,0,0,0,0,0,0,0,0
